Sucun_Islendigi_Il,Yil,Cinsiyet,Oldurme,Yaralama,Cinsel_Suclar,Kisiyi_Hurriyetinden_Yoksun_Kilma,Hakaret,Hirsizlik,Uyusturucu_Madde_Imal_ve_Ticareti,Uyusturucu_Madde_Kullanma_Satin_Alma,Kotu_Muamele,Kacakcilik,Silah_ve_Bicakli_Suclar,Tehdit
Kocaeli ,2018,Erkek,190,710,157,88,73,823,470,147,0,101,112,191
Kocaeli ,2018,Kadın,2,15,0,4,2,87,16,4,0,4,0,8
Sakarya,2018,Erkek,115,433,72,89,60,487,140,169,0,84,116,176
Sakarya,2018,Kadın,1,9,0,6,0,50,1,5,0,1,0,5
Duzce,2018,Erkek,44,136,29,19,29,221,76,78,1,21,26,75
Duzce,2018,Kadın,2,3,0,1,1,10,2,1,0,1,1,3
Bolu,2018,Erkek,20,177,21,19,22,121,28,11,0,33,6,40
Bolu,2018,Kadın,2,2,0,1,1,7,2,0,0,2,0,2
Yalova,2018,Erkek,22,122,17,11,17,131,87,54,0,16,36,43
Yalova,2018,Kadın,1,1,0,0,3,14,8,1,0,2,0,5
Ankara ,2018,Erkek,421,1627,286,149,183,2987,840,351,2,354,214,518
Ankara ,2018,Kadın,10,36,3,8,10,186,40,11,1,7,4,19
Konya,2018,Erkek,194,886,133,89,124,1288,460,205,6,218,101,314
Konya,2018,Kadın,6,25,2,3,4,53,43,18,0,8,5,9
Karaman,2018,Erkek,69,168,47,18,27,142,36,10,0,10,25,65
Karaman,2018,Kadın,3,4,0,0,2,6,1,0,0,1,0,2
Antalya,2018,Erkek,308,1318,284,165,204,2364,618,320,1,284,177,536
Antalya,2018,Kadın,10,31,2,8,11,117,54,18,2,9,2,18
Isparta,2018,Erkek,51,255,54,28,41,273,100,79,0,30,22,94
Isparta,2018,Kadın,4,15,0,2,1,19,17,11,0,2,0,1
Burdur,2018,Erkek,37,191,26,28,25,154,10,6,0,17,24,70
Burdur,2018,Kadın,3,10,2,2,1,10,1,1,0,1,0,2
Adana,2018,Erkek,440,1009,176,108,148,1716,1325,478,7,559,273,386
Adana,2018,Kadın,11,23,0,4,7,77,43,13,3,9,5,7
Mersin,2018,Erkek,298,781,146,71,125,1395,801,167,1,367,97,319
Mersin,2018,Kadın,9,24,1,2,9,78,24,8,0,7,4,7
Hatay,2018,Erkek,148,515,87,51,60,726,396,126,2,336,87,134
Hatay,2018,Kadın,4,6,0,1,2,28,11,3,1,6,3,5
Kahramanmaras,2018,Erkek,121,360,83,34,36,368,147,49,1,100,54,113
Kahramanmaras,2018,Kadın,2,13,1,2,5,19,4,1,0,1,2,4
Osmaniye,2018,Erkek,67,207,29,22,25,327,135,116,1,56,36,96
Osmaniye,2018,Kadın,0,3,0,0,3,22,5,1,0,1,1,3
Kirikkale,2018,Erkek,31,129,22,9,16,118,44,29,0,41,14,40
Kirikkale,2018,Kadın,5,1,0,0,1,13,1,1,0,2,0,0
Aksaray,2018,Erkek,53,202,30,21,10,201,101,34,0,48,24,77
Aksaray,2018,Kadın,0,2,0,1,1,19,2,0,0,4,0,2
Nigde,2018,Erkek,38,195,24,23,29,149,62,35,1,61,24,64
Nigde,2018,Kadın,2,5,1,1,1,5,1,0,0,0,0,2
Nevsehir,2018,Erkek,36,181,43,28,28,140,50,24,0,20,12,81
Nevsehir,2018,Kadın,0,7,2,0,1,18,0,0,0,0,1,0
Kirsehir,2018,Erkek,19,105,14,16,19,94,36,17,0,25,5,37
Kirsehir,2018,Kadın,0,2,0,0,0,10,0,1,0,0,0,1
Kayseri,2018,Erkek,183,716,163,93,97,686,371,155,2,149,96,224
Kayseri,2018,Kadın,6,26,2,4,3,95,17,10,2,3,1,4
Sivas,2018,Erkek,66,287,36,20,39,156,95,32,0,82,65,117
Sivas,2018,Kadın,1,7,0,0,0,20,2,0,0,1,3,4
Yozgat,2018,Erkek,38,146,37,22,19,112,35,10,0,26,4,54
Yozgat,2018,Kadın,2,6,0,0,2,9,0,0,0,0,0,1
Zonguldak,2018,Erkek,52,296,61,34,35,214,56,23,1,12,34,121
Zonguldak,2018,Kadın,0,6,0,0,1,15,0,0,1,0,0,8
Karabuk,2018,Erkek,30,103,31,3,20,86,19,3,0,7,4,34
Karabuk,2018,Kadın,1,3,0,0,2,7,2,0,0,0,0,5
Bartin,2018,Erkek,25,92,28,9,14,44,15,4,0,3,4,29
Bartin,2018,Kadın,3,5,0,1,1,8,0,0,1,0,0,1
Kastamonu,2018,Erkek,41,167,17,22,31,95,18,8,0,11,14,64
Kastamonu,2018,Kadın,4,5,1,0,1,3,0,0,0,0,0,3
Cankiri,2018,Erkek,25,40,11,7,10,46,9,3,0,10,10,16
Cankiri,2018,Kadın,0,0,0,0,0,3,1,0,0,0,0,1
Sinop,2018,Erkek,20,103,30,14,20,66,19,6,0,7,17,71
Sinop,2018,Kadın,2,2,0,3,1,3,1,0,0,0,0,1
Samsun,2018,Erkek,179,755,111,83,70,583,156,312,0,77,181,302
Samsun,2018,Kadın,1,13,0,2,4,74,4,3,1,0,1,6
Tokat,2018,Erkek,58,153,47,34,37,144,39,17,1,36,42,66
Tokat,2018,Kadın,4,5,0,1,1,10,0,0,0,2,0,2
Corum,2018,Erkek,81,208,44,30,23,213,37,18,0,43,34,117
Corum,2018,Kadın,3,6,1,2,1,35,0,0,0,0,1,3
Amasya,2018,Erkek,37,175,30,25,23,120,22,20,0,23,24,69
Amasya,2018,Kadın,1,5,0,2,6,11,1,0,0,0,0,1
Trabzon,2018,Erkek,75,330,38,17,46,257,87,98,0,107,103,126
Trabzon,2018,Kadın,2,5,0,0,2,12,0,1,0,5,1,3
Ordu,2018,Erkek,79,352,87,43,34,268,47,75,0,52,50,132
Ordu,2018,Kadın,0,19,1,2,1,19,2,0,1,2,1,3
Giresun,2018,Erkek,36,198,29,30,34,108,16,12,0,20,45,75
Giresun,2018,Kadın,3,3,0,0,1,8,0,0,0,1,1,2
Rize,2018,Erkek,34,145,30,10,37,141,43,50,0,39,63,55
Rize,2018,Kadın,0,1,0,1,0,5,0,0,0,4,0,1
Artvin,2018,Erkek,18,56,13,6,5,46,12,2,0,85,9,9
Artvin,2018,Kadın,0,2,0,0,1,0,1,0,0,5,0,0
Gumushane,2018,Erkek,8,48,7,5,7,20,9,3,0,6,7,22
Gumushane,2018,Kadın,0,1,0,0,0,1,0,0,0,0,0,1
Erzurum,2018,Erkek,90,302,39,25,33,243,97,20,0,166,49,72
Erzurum,2018,Kadın,1,2,0,0,0,7,4,0,1,5,0,2
Erzincan,2018,Erkek,8,100,16,9,13,98,37,7,0,49,9,32
Erzincan,2018,Kadın,0,0,0,0,0,3,1,0,0,2,0,0
Bayburt ,2018,Erkek,4,20,5,4,4,12,11,3,0,4,1,6
Bayburt ,2018,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Ağri,2018,Erkek,71,155,23,10,18,140,105,27,0,200,27,42
Ağri,2018,Kadın,0,1,0,0,0,3,6,0,0,2,0,1
Kars,2018,Erkek,43,158,17,15,15,67,25,14,1,20,27,43
Kars,2018,Kadın,1,5,2,1,2,2,1,0,0,0,0,1
Igdir,2018,Erkek,39,96,12,13,6,75,14,12,0,53,17,25
Igdir,2018,Kadın,4,1,1,0,0,7,0,0,0,0,0,0
Ardahan,2018,Erkek,7,80,4,10,9,33,3,2,0,11,5,17
Ardahan,2018,Kadın,0,3,0,0,0,1,1,0,0,0,1,1
Malatya,2018,Erkek,80,283,35,33,22,315,179,65,4,118,66,56
Malatya,2018,Kadın,1,8,0,0,2,13,3,0,1,0,0,0
Elazig,2018,Erkek,77,222,27,12,23,329,216,70,1,80,32,62
Elazig,2018,Kadın,0,7,0,0,0,13,4,1,0,0,0,2
Bingol,2018,Erkek,13,56,13,7,8,69,61,14,0,17,13,16
Bingol,2018,Kadın,1,1,0,0,0,3,0,0,0,0,0,0
Tunceli,2018,Erkek,10,44,4,2,3,14,9,7,1,1,2,10
Tunceli,2018,Kadın,1,0,0,0,0,0,0,0,0,0,0,0
Van,2018,Erkek,70,277,35,19,20,358,239,26,1,404,57,55
Van,2018,Kadın,1,1,0,1,0,15,5,0,0,2,1,1
Mus,2018,Erkek,38,68,12,9,9,101,54,8,0,54,26,27
Mus,2018,Kadın,3,0,0,1,0,3,2,0,0,3,0,0
Bitlis,2018,Erkek,33,86,11,5,7,112,63,31,0,117,13,19
Bitlis,2018,Kadın,0,1,0,0,2,4,4,0,0,1,0,0
Hakkari,2018,Erkek,12,26,3,2,0,19,61,8,1,70,26,1
Hakkari,2018,Kadın,0,0,0,0,0,1,4,0,0,4,0,0
Gaziantep,2018,Erkek,289,944,69,55,66,1642,564,178,1,399,381,214
Gaziantep,2018,Kadın,6,21,1,3,0,48,12,4,0,2,2,4
Adiyaman,2018,Erkek,45,146,19,12,8,184,143,68,0,23,26,39
Adiyaman,2018,Kadın,0,3,0,0,0,9,4,4,0,0,0,1
Kilis,2018,Erkek,21,70,7,1,4,121,71,32,1,136,34,19
Kilis,2018,Kadın,1,0,0,0,0,6,0,0,0,0,0,0
Sanliurfa,2018,Erkek,115,327,43,51,30,846,595,252,4,192,117,101
Sanliurfa,2018,Kadın,3,5,0,0,3,36,7,2,0,4,0,0
Diyarbakır,2018,Erkek,179,399,53,40,27,717,905,108,1,291,175,85
Diyarbakır,2018,Kadın,3,6,1,4,2,13,24,0,0,3,2,0
Mardin,2018,Erkek,54,130,22,9,12,239,129,64,1,169,60,27
Mardin,2018,Kadın,2,0,0,0,1,6,0,2,0,3,2,0
Batman,2018,Erkek,30,119,14,8,4,289,111,12,0,60,42,25
Batman,2018,Kadın,2,0,0,1,0,27,2,0,0,0,1,0
Sirnak,2018,Erkek,24,65,3,6,4,84,18,20,0,716,17,6
Sirnak,2018,Kadın,1,0,0,0,0,6,0,0,0,2,0,0
Siirt,2018,Erkek,35,81,18,7,7,140,40,20,1,78,20,7
Siirt,2018,Kadın,0,1,0,0,1,2,0,0,0,0,0,1
Istanbul ,2017,Erkek,1212,3462,701,374,369,5832,2425,1707,5,582,962,637
Istanbul ,2017,Kadın,27,65,2,13,15,374,115,14,7,26,5,8
Tekirdag,2017,Erkek,86,371,78,36,48,590,137,87,1,32,56,109
Tekirdag,2017,Kadın,2,8,0,0,5,40,10,0,0,2,1,0
Edirne,2017,Erkek,57,189,72,15,21,252,93,74,1,43,21,58
Edirne,2017,Kadın,2,10,0,0,1,11,4,0,0,3,0,2
Kirklareli ,2017,Erkek,40,162,37,16,20,191,68,14,2,19,14,38
Kirklareli ,2017,Kadın,1,3,0,0,0,8,7,0,0,0,1,2
Balikesir                  ,2017,Erkek,221,523,108,55,86,601,176,52,1,38,110,239
Balikesir                  ,2017,Kadın,3,20,2,3,8,55,19,2,0,4,1,7
Canakkale,2017,Erkek,54,201,42,29,35,253,30,30,0,20,28,90
Canakkale,2017,Kadın,1,7,0,1,3,18,2,1,0,1,0,2
İzmir ,2017,Erkek,527,1838,341,150,322,2978,938,960,5,348,364,574
İzmir ,2017,Kadın,16,59,3,5,18,202,52,8,0,23,5,10
Aydin,2017,Erkek,132,564,114,53,95,791,210,114,2,61,86,215
Aydin,2017,Kadın,4,12,1,1,3,40,11,5,1,0,0,5
Denizli ,2017,Erkek,142,434,86,63,79,616,151,73,0,73,77,185
Denizli ,2017,Kadın,3,12,2,2,12,57,20,2,0,2,1,3
Mugla,2017,Erkek,96,447,87,54,73,412,177,43,0,38,40,166
Mugla,2017,Kadın,3,12,1,1,5,31,5,1,0,2,1,3
Manisa,2017,Erkek,165,607,138,77,92,791,280,86,2,90,64,230
Manisa,2017,Kadın,2,10,1,5,9,46,8,1,0,1,0,8
Afyonkarahisar  ,2017,Erkek,85,342,73,65,52,282,62,16,1,44,42,122
Afyonkarahisar  ,2017,Kadın,6,20,1,4,2,19,2,2,0,0,2,7
Kutahya ,2017,Erkek,53,175,24,26,19,214,42,13,0,17,19,74
Kutahya ,2017,Kadın,0,6,3,1,0,10,2,1,0,3,0,1
Usak,2017,Erkek,58,192,32,18,17,129,106,19,0,17,19,84
Usak,2017,Kadın,2,10,0,1,3,17,9,0,0,2,0,1
Bursa,2017,Erkek,272,1079,216,98,150,1405,427,277,2,101,233,323
Bursa,2017,Kadın,7,26,0,2,11,120,79,6,0,2,5,7
Eskisehir                 ,2017,Erkek,104,400,55,42,74,408,69,69,1,30,57,104
Eskisehir                 ,2017,Kadın,1,13,0,1,4,35,12,1,0,1,1,3
Bilecik,2017,Erkek,16,87,31,6,12,117,11,12,1,13,13,27
Bilecik,2017,Kadın,0,3,0,0,1,6,0,0,0,0,0,1
Kocaeli ,2017,Erkek,184,491,125,84,72,665,418,125,1,54,95,141
Kocaeli ,2017,Kadın,4,13,2,7,3,79,8,2,0,2,2,2
Sakarya,2017,Erkek,108,275,80,63,52,393,121,78,1,52,85,88
Sakarya,2017,Kadın,1,10,1,3,2,28,4,3,0,0,0,2
Duzce,2017,Erkek,53,194,40,20,29,180,81,65,0,19,27,67
Duzce,2017,Kadın,2,7,0,0,0,8,2,1,0,1,0,2
Bolu,2017,Erkek,26,155,21,12,28,109,36,12,1,9,7,26
Bolu,2017,Kadın,0,6,0,0,4,6,3,0,0,0,0,2
Yalova,2017,Erkek,16,96,27,3,19,117,57,26,0,12,17,31
Yalova,2017,Kadın,0,3,0,1,0,7,2,0,0,3,0,1
Ankara ,2017,Erkek,390,1444,245,132,191,2502,713,263,1,288,209,424
Ankara ,2017,Kadın,7,33,3,5,9,156,27,8,2,3,2,10
Konya,2017,Erkek,209,698,155,71,118,1097,415,98,4,163,123,248
Konya,2017,Kadın,3,22,1,4,5,43,38,5,2,2,4,4
Karaman,2017,Erkek,39,122,28,16,18,110,49,12,0,10,17,44
Karaman,2017,Kadın,0,3,0,0,0,5,2,0,0,0,0,1
Antalya,2017,Erkek,271,1223,236,136,183,1874,567,222,3,302,194,331
Antalya,2017,Kadın,7,39,2,12,17,118,50,8,3,8,3,12
Isparta,2017,Erkek,50,191,49,34,28,223,88,44,2,23,21,81
Isparta,2017,Kadın,0,4,0,1,2,9,19,14,0,0,0,1
Burdur,2017,Erkek,28,97,17,14,19,90,15,9,0,6,12,39
Burdur,2017,Kadın,3,6,0,1,0,5,0,2,0,0,0,0
Adana,2017,Erkek,366,838,181,79,110,1509,1224,438,5,332,249,280
Adana,2017,Kadın,5,11,2,4,5,59,37,15,5,10,1,6
Mersin,2017,Erkek,248,771,157,83,128,1318,627,137,1,382,177,270
Mersin,2017,Kadın,4,20,0,4,8,60,28,3,0,6,1,5
Hatay,2017,Erkek,132,397,74,30,57,602,299,98,0,217,58,102
Hatay,2017,Kadın,0,8,1,1,1,26,16,2,2,6,1,3
Kahramanmaras,2017,Erkek,110,295,77,36,31,334,128,49,1,62,61,112
Kahramanmaras,2017,Kadın,1,2,2,1,2,25,5,0,0,2,0,1
Osmaniye,2017,Erkek,66,153,34,21,26,225,147,86,0,46,34,71
Osmaniye,2017,Kadın,0,7,1,1,1,17,5,0,0,1,1,2
Kirikkale,2017,Erkek,25,134,23,16,16,125,55,19,0,11,14,25
Kirikkale,2017,Kadın,1,1,0,0,0,17,0,0,0,0,0,1
Aksaray,2017,Erkek,39,113,29,14,13,113,94,12,0,24,13,61
Aksaray,2017,Kadın,2,1,1,0,2,11,4,2,0,0,0,0
Nigde,2017,Erkek,32,175,30,20,20,120,75,23,1,25,21,60
Nigde,2017,Kadın,0,4,0,0,1,3,2,0,0,0,0,0
Nevsehir,2017,Erkek,38,136,45,30,16,107,36,29,0,18,17,53
Nevsehir,2017,Kadın,2,8,2,4,0,12,0,0,0,1,0,1
Kirsehir,2017,Erkek,23,70,13,16,16,45,23,10,0,29,9,27
Kirsehir,2017,Kadın,0,3,0,0,1,12,0,1,0,0,1,0
Kayseri,2017,Erkek,132,690,135,75,114,560,304,105,0,95,120,190
Kayseri,2017,Kadın,4,15,4,5,4,78,10,7,0,1,0,5
Sivas,2017,Erkek,51,198,37,27,25,114,46,28,0,43,52,84
Sivas,2017,Kadın,0,8,0,0,2,12,1,0,1,1,1,3
Yozgat,2017,Erkek,28,139,31,11,20,80,26,8,1,17,18,36
Yozgat,2017,Kadın,0,3,1,0,1,8,0,0,0,0,0,1
Zonguldak,2017,Erkek,52,263,66,23,29,161,59,16,0,7,36,105
Zonguldak,2017,Kadın,1,9,0,1,3,19,0,0,0,0,1,6
Karabuk,2017,Erkek,22,79,27,9,12,65,10,3,0,10,8,25
Karabuk,2017,Kadın,0,5,0,0,1,6,2,0,0,1,0,3
Bartin,2017,Erkek,16,64,22,5,17,44,7,7,0,6,10,30
Bartin,2017,Kadın,1,5,0,0,0,2,1,0,0,0,0,1
Kastamonu,2017,Erkek,39,145,37,15,22,81,24,6,0,8,26,48
Kastamonu,2017,Kadın,0,3,0,0,2,6,2,0,0,0,0,2
Cankiri,2017,Erkek,14,40,14,9,4,37,13,2,0,4,11,19
Cankiri,2017,Kadın,1,0,0,2,1,3,0,0,0,0,0,0
Sinop,2017,Erkek,23,96,29,7,15,53,13,7,0,8,17,32
Sinop,2017,Kadın,0,2,0,1,1,5,1,0,0,0,0,4
Samsun,2017,Erkek,151,517,97,54,74,364,196,196,2,49,187,237
Samsun,2017,Kadın,3,18,2,1,5,54,4,1,2,1,1,6
Tokat,2017,Erkek,56,125,42,31,30,126,41,7,0,20,37,57
Tokat,2017,Kadın,1,4,1,1,3,7,1,0,0,2,0,1
Corum,2017,Erkek,83,164,40,20,29,180,19,14,0,24,26,93
Corum,2017,Kadın,0,5,2,0,3,28,1,0,0,0,0,3
Amasya,2017,Erkek,23,135,17,14,16,86,16,11,0,16,21,43
Amasya,2017,Kadın,3,3,1,1,1,6,0,1,0,0,0,1
Trabzon,2017,Erkek,55,283,36,12,39,172,53,54,1,56,79,84
Trabzon,2017,Kadın,1,4,0,0,1,14,1,0,0,1,0,1
Ordu,2017,Erkek,59,313,71,66,41,209,42,30,0,40,45,116
Ordu,2017,Kadın,1,11,2,0,1,21,0,0,0,4,0,5
Giresun,2017,Erkek,31,183,40,28,32,86,22,2,0,16,24,56
Giresun,2017,Kadın,1,6,3,1,0,14,1,0,0,0,0,1
Rize,2017,Erkek,25,118,29,15,15,64,46,17,0,49,36,54
Rize,2017,Kadın,1,2,0,1,0,0,0,0,0,3,1,1
Artvin,2017,Erkek,15,31,16,4,6,32,7,3,0,50,12,11
Artvin,2017,Kadın,0,2,0,0,0,2,0,0,0,4,0,0
Gumushane,2017,Erkek,10,50,2,3,7,26,2,7,0,7,9,15
Gumushane,2017,Kadın,0,2,0,0,0,0,0,0,0,0,0,0
Erzurum,2017,Erkek,68,228,25,12,29,196,104,17,1,156,65,74
Erzurum,2017,Kadın,1,5,0,0,1,7,1,0,0,2,1,0
Erzincan,2017,Erkek,11,81,13,12,14,109,40,3,0,24,4,21
Erzincan,2017,Kadın,1,2,0,0,1,4,0,0,0,1,0,0
Bayburt ,2017,Erkek,3,10,5,1,4,10,16,1,0,4,3,1
Bayburt ,2017,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Ağri,2017,Erkek,45,126,12,10,17,123,54,23,1,122,28,33
Ağri,2017,Kadın,1,2,0,0,2,2,1,0,0,1,0,1
Kars,2017,Erkek,28,126,15,20,17,56,27,5,0,15,31,51
Kars,2017,Kadın,2,2,0,1,0,4,0,0,0,2,0,1
Igdir,2017,Erkek,14,91,12,16,5,51,21,6,0,50,15,18
Igdir,2017,Kadın,0,4,0,0,0,3,0,1,0,0,0,0
Ardahan,2017,Erkek,13,64,6,11,7,25,1,3,0,5,5,15
Ardahan,2017,Kadın,0,1,0,0,0,1,0,0,0,0,0,0
Malatya,2017,Erkek,66,205,28,26,33,253,183,43,0,129,66,82
Malatya,2017,Kadın,2,6,0,1,0,16,3,0,0,2,0,0
Elazig,2017,Erkek,67,186,27,21,18,247,219,52,0,63,32,53
Elazig,2017,Kadın,1,2,0,1,0,18,3,2,0,1,0,1
Bingol,2017,Erkek,14,32,9,9,4,38,62,13,0,11,3,11
Bingol,2017,Kadın,0,0,0,0,0,1,1,0,0,0,0,1
Tunceli,2017,Erkek,3,19,2,0,0,4,4,2,0,0,3,6
Tunceli,2017,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Van,2017,Erkek,71,219,14,12,15,259,245,42,2,288,40,42
Van,2017,Kadın,8,4,0,0,0,4,5,1,1,3,0,0
Mus,2017,Erkek,38,41,3,5,5,80,54,14,1,31,23,15
Mus,2017,Kadın,0,0,1,0,2,3,5,0,0,1,0,0
Bitlis,2017,Erkek,20,77,7,4,7,112,46,21,0,94,17,11
Bitlis,2017,Kadın,0,0,0,0,0,6,0,0,1,0,0,0
Hakkari,2017,Erkek,13,20,7,5,6,18,60,3,0,26,14,11
Hakkari,2017,Kadın,1,0,0,0,0,0,0,0,0,0,0,0
Gaziantep,2017,Erkek,223,591,89,43,46,1122,474,134,0,270,205,182
Gaziantep,2017,Kadın,1,12,0,2,4,35,6,4,0,6,2,2
Adiyaman,2017,Erkek,41,96,13,11,15,162,123,30,1,20,24,25
Adiyaman,2017,Kadın,0,2,0,0,0,12,0,2,0,0,0,0
Kilis,2017,Erkek,12,55,1,5,8,65,48,32,0,79,8,13
Kilis,2017,Kadın,0,0,0,0,0,0,0,0,1,1,0,1
Sanliurfa,2017,Erkek,141,276,34,23,26,565,489,169,0,99,98,55
Sanliurfa,2017,Kadın,0,4,1,0,0,23,4,1,0,1,3,0
Diyarbakır,2017,Erkek,209,293,47,38,11,598,791,64,0,147,163,64
Diyarbakır,2017,Kadın,3,6,0,1,1,13,13,1,0,0,0,0
Mardin,2017,Erkek,57,115,22,8,7,191,82,51,0,81,53,48
Mardin,2017,Kadın,0,1,0,0,1,8,0,1,0,0,0,0
Batman,2017,Erkek,20,77,6,4,6,223,87,22,0,20,22,22
Batman,2017,Kadın,0,0,0,0,1,23,3,0,0,0,1,0
Sirnak,2017,Erkek,33,34,8,2,1,53,17,3,0,201,24,6
Sirnak,2017,Kadın,0,0,0,0,0,6,0,0,0,1,0,0
Siirt,2017,Erkek,17,36,9,1,5,113,23,13,0,45,9,6
Siirt,2017,Kadın,0,0,1,1,0,4,0,0,0,1,1,0
Istanbul ,2016,Erkek,1021,2753,723,303,368,4647,2384,1219,7,296,658,754
Istanbul ,2016,Kadın,29,63,4,9,24,304,119,11,1,10,4,6
Tekirdag,2016,Erkek,86,332,95,27,67,438,139,45,3,43,27,146
Tekirdag,2016,Kadın,5,8,0,2,1,26,15,1,0,2,0,2
Edirne,2016,Erkek,40,207,40,11,35,205,106,23,0,39,23,83
Edirne,2016,Kadın,0,5,1,0,2,15,4,0,0,1,0,2
Kirklareli ,2016,Erkek,48,147,43,16,16,160,49,7,0,19,15,63
Kirklareli ,2016,Kadın,1,2,1,0,0,13,4,0,0,1,0,2
Balikesir                  ,2016,Erkek,162,526,143,91,101,560,186,38,1,44,78,295
Balikesir                  ,2016,Kadın,5,21,1,5,7,64,17,4,1,2,0,8
Canakkale,2016,Erkek,51,187,35,41,43,168,23,12,1,16,24,111
Canakkale,2016,Kadın,0,7,2,2,0,21,0,0,0,1,1,2
İzmir ,2016,Erkek,500,1835,426,188,403,2659,869,513,6,274,329,706
İzmir ,2016,Kadın,8,44,3,12,11,190,39,3,0,2,5,25
Aydin,2016,Erkek,131,529,111,49,99,654,171,54,0,53,65,218
Aydin,2016,Kadın,3,21,0,1,7,27,14,1,0,0,0,8
Denizli ,2016,Erkek,132,375,101,73,79,517,153,29,2,49,62,215
Denizli ,2016,Kadın,5,13,2,3,6,46,10,0,0,0,2,7
Mugla,2016,Erkek,101,408,117,39,77,399,178,25,0,28,37,203
Mugla,2016,Kadın,1,10,1,0,4,19,3,3,0,0,0,7
Manisa,2016,Erkek,197,594,152,110,83,727,244,56,1,81,50,241
Manisa,2016,Kadın,4,20,0,3,6,39,14,0,0,2,2,9
Afyonkarahisar  ,2016,Erkek,96,231,56,64,24,246,70,18,0,29,22,124
Afyonkarahisar  ,2016,Kadın,4,6,0,8,2,15,6,1,0,0,0,3
Kutahya ,2016,Erkek,39,171,39,19,27,177,53,6,0,14,9,75
Kutahya ,2016,Kadın,1,9,1,0,2,15,3,0,0,1,0,3
Usak,2016,Erkek,57,170,31,15,18,157,81,7,0,32,18,76
Usak,2016,Kadın,3,7,1,4,5,9,3,0,0,1,1,4
Bursa,2016,Erkek,255,1025,238,118,158,1267,380,100,1,84,180,386
Bursa,2016,Kadın,9,21,1,1,7,105,71,1,0,2,1,7
Eskisehir                 ,2016,Erkek,81,386,55,27,68,386,74,40,0,18,39,116
Eskisehir                 ,2016,Kadın,0,7,1,1,1,46,13,1,0,0,1,2
Bilecik,2016,Erkek,14,75,24,14,7,102,8,2,0,8,9,34
Bilecik,2016,Kadın,1,1,0,0,1,7,0,0,0,0,0,4
Kocaeli ,2016,Erkek,167,426,148,47,78,589,371,45,0,36,69,154
Kocaeli ,2016,Kadın,5,13,1,2,2,55,14,1,0,0,0,2
Sakarya,2016,Erkek,95,264,72,76,47,366,113,20,1,34,67,132
Sakarya,2016,Kadın,2,10,1,1,6,30,2,0,0,1,0,2
Duzce,2016,Erkek,43,150,38,24,24,146,70,18,0,15,29,59
Duzce,2016,Kadın,0,8,1,1,3,9,5,0,0,0,0,0
Bolu,2016,Erkek,26,118,40,11,20,92,37,4,0,5,13,33
Bolu,2016,Kadın,0,5,0,0,1,9,3,0,0,0,1,1
Yalova,2016,Erkek,19,66,27,8,13,88,39,10,0,5,17,23
Yalova,2016,Kadın,0,0,0,0,1,5,1,0,0,0,1,3
Ankara ,2016,Erkek,413,1137,265,103,180,1909,702,109,0,132,125,409
Ankara ,2016,Kadın,13,29,2,6,14,138,44,4,0,1,3,7
Konya,2016,Erkek,166,662,132,71,91,957,347,42,3,83,84,300
Konya,2016,Kadın,6,14,4,5,5,54,39,2,0,0,2,9
Karaman,2016,Erkek,32,118,22,16,18,97,28,8,0,15,21,56
Karaman,2016,Kadın,0,6,0,1,0,3,3,0,0,0,0,1
Antalya,2016,Erkek,253,999,226,129,177,1573,606,101,0,111,125,415
Antalya,2016,Kadın,7,23,2,9,16,102,50,8,1,3,2,13
Isparta,2016,Erkek,43,156,41,38,26,171,87,30,1,13,10,67
Isparta,2016,Kadın,0,2,0,2,2,13,23,4,0,0,0,4
Burdur,2016,Erkek,9,81,16,14,21,73,7,4,0,7,9,46
Burdur,2016,Kadın,0,1,0,0,2,9,0,0,0,0,0,2
Adana,2016,Erkek,293,699,148,94,104,1240,1025,246,3,253,188,344
Adana,2016,Kadın,3,9,1,3,4,50,34,5,0,2,1,10
Mersin,2016,Erkek,239,646,142,63,99,1036,520,90,0,97,121,307
Mersin,2016,Kadın,10,21,2,1,9,68,23,3,0,1,0,10
Hatay,2016,Erkek,118,407,86,59,52,543,326,78,0,228,50,108
Hatay,2016,Kadın,2,8,0,2,4,23,9,2,0,3,2,2
Kahramanmaras,2016,Erkek,103,274,88,57,41,310,133,23,0,49,42,149
Kahramanmaras,2016,Kadın,1,8,1,3,1,20,2,0,0,0,0,3
Osmaniye,2016,Erkek,43,171,22,21,25,208,109,44,2,30,21,91
Osmaniye,2016,Kadın,2,1,1,0,1,11,5,2,0,0,0,0
Kirikkale,2016,Erkek,31,84,29,13,13,94,62,11,0,11,10,24
Kirikkale,2016,Kadın,1,1,0,0,1,8,3,0,0,0,0,1
Aksaray,2016,Erkek,44,88,25,24,19,110,99,9,0,18,15,59
Aksaray,2016,Kadın,1,4,0,0,1,10,1,0,0,0,1,4
Nigde,2016,Erkek,33,170,40,25,8,119,35,7,0,13,14,81
Nigde,2016,Kadın,0,4,0,0,2,1,0,1,0,0,0,0
Nevsehir,2016,Erkek,34,109,35,45,20,99,31,12,1,31,12,70
Nevsehir,2016,Kadın,0,7,2,0,2,28,3,0,0,0,0,1
